Question,Answer
What is the vision of Thiagarajar College?,To serve the society by providing affordable quality higher education to all at all times.
What is the mission of Thiagarajar College?,To provide a gender-friendly academic ambiance that ensures knowledge acquisition through student-teacher synergy resulting in character development and career readiness.
Where is Thiagarajar College located?,"The college is located at #139-140, Kamarajar Salai, Madurai - 625009, India."
How can I contact Thiagarajar College?,"You can contact the college via phone at +91 452 2311875, fax at +91 452 2312375, or email at principaltcarts@gmail.com."
Does Thiagarajar College charge capitation fees for admission?,"No, admission is purely on merit, and no capitation fees are charged. For any clarification, you may contact admission@tcarts.in."
What are the student strengths at Thiagarajar College?,"As per the latest data, the college has 3,000 female students and 2,327 male students."
What is the NIRF ranking of 2024?,The college secured the 15th rank in NIRF-2024.
What is the accreditation status of Thiagarajar College?,The college achieved A++ in the 4th cycle of NAAC accreditation with a score of 3.63 out of 4.
What are the core values of Thiagarajar College?,"The core values include merit, outcome-based education, gender equity, upgraded curriculum, multidisciplinary research, self-esteem, character building, state-of-the-art infrastructure, better placements, affordable cost, philanthropic management, and adherence to guidelines."
What programs does Thiagarajar College offer?,"The college offers undergraduate, postgraduate, and research programs across various disciplines."
How can I access the examination results?,"For private and RC students, examination information can be accessed through the Controller of Examinations portal at https://coe.tcarts.in/. For 2022 batch onwards (UG & PG) students, academic information can be accessed through the MyCAMU software at https://www.mycamu.co.in/."
What is the history of Thiagarajar College?,Thiagarajar College was founded by Kalaithanthai Karumuttu Thiagarajan Chettiar.
What facilities are available at Thiagarajar College?,"The college offers facilities such as a library, laboratories, auditoriums, sports grounds, gymnasium, and more."
What co-curricular activities are available at Thiagarajar College?,"The college organizes various co-curricular activities, including faculty development programs, cultural fests, and student awards ceremonies."
What is the admission process at Thiagarajar College?,"Admissions are based on merit, and interested candidates can contact admission@tcarts.in for clarification."
What is the admission deadline for 2025-2026?,"The admission deadline for 2025-2026 is May 10, 2026."
What are the eligibility criteria for admission?,Applicants must have passed their 10th as well as 12th board exams.
What documents are required for admission?,"You need: 1. Interview letter, 2. 12th mark sheet original, 3. ID proof (Aadhar card), 4. Passport-size photographs, 5. Transfer Certificates, 6. Attendance certificate from school, 7. Bonafide Certificate. , Make sure to bring  both the original and Xerox  "
How can I apply for admission?,You can only apply online for admission. Do you need any help related to the admission process?
Is there an entrance exam for admission?,"No, there is no specific entrance exam for admission. The admission process is held based on the 12th board exam results."
What kind of courses does the college provide?,The college provides both aided and self-financed courses. Do you want to know about the courses available?
What are the available courses?,Our college has many courses in all fields. You can check them here: https://tcarts.in/academics_new/acad.php
What is the fee structure for 2025-2026?,"The fees may differ according to whether its aided or self-financed, for further details reach out to admission@tcarts.in"
